Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
17/01/2020,"6 THE CRESCENT, ROBSWALL, MALAHIDE",,Dublin,"�250,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"62 COLLEGE HILL, IRISHTOWN, MULLINGAR",,Westmeath,"�227,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"62 RISC NA RI, KNOCKNACARRA, GALWAY",,Galway,"�294,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"627 THE KINGFISHER, JACOBS ISLAND, MAHON",,Cork,"�235,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"64 BOROIMHE BLACKTHORN, BOROIMHE, SWORDS",,Dublin,"�325,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"65 ST COLUMBANUS RD, MILLTOWN, DUBLIN 14",Dublin 14,Dublin,"�450,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"68 MOUNT TALLANT AVENUE, TERENURE, DUBLIN 6W",,Dublin,"�320,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"7 ARDMORE CRESCENT, BRAY, WICKLOW",,Wicklow,"�492,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"7 CARRAIG LIATH, LAUREL PARK, NEWCASTLE",,Galway,"�274,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"7 CHURCHVIEW, BALLINCOLLIG, CORK",,Cork,"�240,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"7 DODDER VIEW, BALLSBRIDGE, DUBLIN 4",,Dublin,"�440,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"7 Fort View, Clarecastle",,Clare,"�204,846.00",No,Yes,New Dwelling house /Apartment,
17/01/2020,"7 KILLALLON ROAD, CLONMELLON, CO. WESTMEATH",,Westmeath,"�59,220.00",Yes,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"7 SOMERVILLE AVE, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,"�441,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"7 ST FINTAN TERRACE, CABRA, DUBLIN 7",Dublin 7,Dublin,"�335,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"7 WELLESLEY MANOR, BETTYSTOWN, MEATH",,Meath,"�330,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"70 ROCKFORD MANOR, STRADBROOK RD, BLACKROCK",,Dublin,"�237,500.00",Yes,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"74 Millgate, Millertown, Maynooth Road",,Meath,"�295,154.00",No,Yes,New Dwelling house /Apartment,
17/01/2020,"75 Mill Gate, Millerstown, Kilcock",,Meath,"�251,101.32",No,Yes,New Dwelling house /Apartment,
17/01/2020,"79 KNOCKBRACK DOWNS, DROGHEDA, LOUTH",,Louth,"�185,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"8 CLYDE RD, DUBLIN 4, DUBLIN",Dublin 4,Dublin,"�2,740,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"8 Orchid Grove, Abbey Fort, Kinsale",,Cork,"�182,550.73",Yes,Yes,New Dwelling house /Apartment,
17/01/2020,"80 CAPTAINS AVE, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,"�300,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"81 SARAN WOOD, KILLARNEY RD, BRAY",,Wicklow,"�358,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"87 TROYTOWN HEIGHTS, NAVAN, COUNTY MEATH",,Meath,"�170,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"89 HAMPTON PARK, ST HELENS, BOOTERSTOWN",,Dublin,"�790,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"9 ASHEWOOD GREEN, ASHEWOOD, ASHBOURNE",,Meath,"�260,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"9 ESKER MEADOW GROVE, LUCAN, MEADOW GROVE",Dublin 16,Dublin,"�326,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"9 OLD ESTUARY MILL, ESTUARY RD, MALAHIDE",,Dublin,"�950,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"9 Somerton Court, Lucan",,Dublin,"�298,425.00",No,Yes,New Dwelling house /Apartment,
17/01/2020,"9 STRAFFAN COURT, STRAFFAN WOOD, MAYNOOTH",,Kildare,"�260,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"9 Sycamore Hall, Clay Farm, Leopardstown",Dublin 18,Dublin,"�356,828.00",No,Yes,New Dwelling house /Apartment,
17/01/2020,"91 DUBLIN STREET, BALBRIGGAN, CO DUBLIN",,Dublin,"�275,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"92 CASTLETOWN, LEIXLIP, CO KILDARE",,Kildare,"�357,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"92 THE MALTINGS, BRAY, WICKLOW",,Wicklow,"�317,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"95 SHANLISS RD, SANTRY, DUBLIN 9",Dublin 9,Dublin,"�336,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"ANNAGHMORE, STROKESTOWN, ROSCOMMON",,Roscommon,"�72,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"APARTMENT 11, HAYWORTH COURT, ONGAR PARK",Dublin 15,Dublin,"�213,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2020,"APARTMENT 18, BEAL NA MARA  THE MALL, BALLYSHANNON",,Donegal,"�74,889.89",No,Yes,New Dwelling house /Apartment,
